0.040000,0.040000,1.000000,0.210526,0.200000,0.200000,0.010526,0.000421,0.000105,0.000008,-0.299886,-0.299886,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
0.145000,0.105000,1.000000,0.237223,0.200000,0.200000,0.037223,0.004330,0.000372,0.000087,-0.299541,-0.299541,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
0.241000,0.096000,1.000000,0.260875,0.200000,0.200000,0.060875,0.010174,0.000609,0.000203,-0.299188,-0.299188,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
0.343000,0.102000,1.000000,0.285179,0.200000,0.200000,0.085179,0.018862,0.000852,0.000377,-0.298771,-0.298771,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
0.468000,0.125000,1.000000,0.313772,0.200000,0.200000,0.113772,0.033083,0.001138,0.000662,-0.298201,-0.298201,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
0.540000,0.072000,1.000000,0.329856,0.200000,0.200000,0.129856,0.042433,0.001299,0.000849,-0.297853,-0.297853,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
0.639000,0.099000,1.000000,0.351264,0.200000,0.200000,0.151264,0.057408,0.001513,0.001148,-0.297339,-0.297339,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
0.740000,0.101000,1.000000,0.372393,0.200000,0.200000,0.172393,0.074820,0.001724,0.001496,-0.296780,-0.296780,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
0.857000,0.117000,1.000000,0.395951,0.200000,0.200000,0.195951,0.097746,0.001960,0.001955,-0.296086,-0.296086,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
0.939000,0.082000,1.000000,0.412023,0.200000,0.200000,0.212023,0.115132,0.002120,0.002303,-0.295577,-0.295577,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
1.050000,0.111000,1.000000,0.433002,0.200000,0.200000,0.233002,0.140995,0.002330,0.002820,-0.294850,-0.294850,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
1.139000,0.089000,1.000000,0.449338,0.200000,0.200000,0.249338,0.163186,0.002493,0.003264,-0.294243,-0.294243,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
1.239000,0.100000,1.000000,0.467101,0.200000,0.200000,0.267101,0.189896,0.002671,0.003798,-0.293531,-0.293531,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
1.339000,0.100000,1.000000,0.484291,0.200000,0.200000,0.284291,0.218325,0.002843,0.004367,-0.292791,-0.292791,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
1.440000,0.101000,1.000000,0.501088,0.200000,0.200000,0.301088,0.248735,0.003011,0.004975,-0.292014,-0.292014,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
1.540000,0.100000,1.000000,0.517182,0.200000,0.200000,0.317182,0.280454,0.003172,0.005609,-0.291219,-0.291219,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
1.649000,0.109000,1.000000,0.534109,0.200000,0.200000,0.334109,0.316871,0.003341,0.006337,-0.290321,-0.290321,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
1.740000,0.091000,1.000000,0.547825,0.200000,0.200000,0.347825,0.348524,0.003478,0.006970,-0.289551,-0.289551,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
1.839000,0.099000,1.000000,0.562270,0.200000,0.200000,0.362270,0.384388,0.003623,0.007688,-0.288690,-0.288690,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
1.939000,0.100000,1.000000,0.576391,0.200000,0.200000,0.376391,0.422028,0.003764,0.008441,-0.287796,-0.287796,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
2.039000,0.100000,1.000000,0.590056,0.200000,0.200000,0.390056,0.461033,0.003901,0.009221,-0.286879,-0.286879,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
2.145000,0.106000,1.000000,0.604046,0.200000,0.200000,0.404046,0.503862,0.004040,0.010077,-0.285882,-0.285882,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
2.239000,0.094000,1.000000,0.616076,0.200000,0.200000,0.416076,0.542973,0.004161,0.010859,-0.284980,-0.284980,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
2.339000,0.100000,1.000000,0.628460,0.200000,0.200000,0.428460,0.585819,0.004285,0.011716,-0.283999,-0.283999,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
2.439000,0.100000,1.000000,0.640445,0.200000,0.200000,0.440445,0.629864,0.004404,0.012597,-0.282998,-0.282998,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
2.539000,0.100000,1.000000,0.652044,0.200000,0.200000,0.452044,0.675068,0.004520,0.013501,-0.281978,-0.281978,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
2.639000,0.100000,1.000000,0.663268,0.200000,0.200000,0.463268,0.721395,0.004633,0.014428,-0.280939,-0.280939,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
2.740000,0.101000,1.000000,0.674236,0.200000,0.200000,0.474236,0.769293,0.004742,0.015386,-0.279872,-0.279872,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
2.843000,0.103000,1.000000,0.685049,0.200000,0.200000,0.485049,0.819253,0.004850,0.016385,-0.278764,-0.278764,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
2.939000,0.096000,1.000000,0.694815,0.200000,0.200000,0.494815,0.866755,0.004948,0.017335,-0.277717,-0.277717,0.010000,0.020000,0.300000,0.300000,3.000000,-0.300000
